Score,Comments,EvaluationDate,JudgeID,ArtworkID,ExhibitionID
4.37,Harmonious balance with subtle nuances. Engaging from afar.,2025-01-23,36,67,3
9.56,Harmonious balance with subtle nuances. Compelling story told.,2025-08-30,42,3,4
7.59,Bold choices in form and texture stand out. Polished execution.,2024-07-17,39,15,2
6.39,"Excellent technical skill, but could explore more conceptual depth. Compelling story told.",2025-03-02,39,56,2
2.4,Textural contrasts provide tactile appeal. Engaging from afar.,2024-06-04,41,63,5
2.4,The color palette evokes deep emotions effectively. Needs more contrast.,2024-05-22,39,23,3
1.52,Fluid lines guide the viewer's eye seamlessly. Needs more contrast.,2025-05-02,38,22,3
8.8,The color palette evokes deep emotions effectively. Engaging from afar.,2024-08-01,44,28,4
6.41,The color palette evokes deep emotions effectively. Compelling story told.,2025-05-26,45,58,1
7.37,Masterful handling of negative space. Polished execution.,2025-10-10,42,34,3
1.19,Evocative symbolism adds layers of meaning. Highly original concept.,2024-08-02,37,3,3
9.73,Thought-provoking themes are well-executed. Needs more contrast.,2024-03-17,36,46,2
8.49,Vibrant hues create a sense of movement. Consider scale adjustments.,2024-02-17,42,21,1
2.91,Thought-provoking themes are well-executed. Polished execution.,2025-07-20,45,61,5
2.64,Intriguing interplay of light and shadow. Needs more contrast.,2025-06-20,39,4,2
2.65,Dynamic energy conveyed through brushwork. Polished execution.,2024-06-30,42,46,5
3.74,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2024-07-03,42,20,2
5.72,Evocative symbolism adds layers of meaning. Engaging from afar.,2023-12-19,37,56,2
4.89,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2025-09-13,43,31,4
3.62,Strong composition and innovative use of materials. Polished execution.,2025-04-24,36,29,3
6.51,Vibrant hues create a sense of movement. Polished execution.,2024-06-16,41,31,1
2.26,Harmonious balance with subtle nuances. Needs more contrast.,2025-08-12,42,67,2
3.63,Vibrant hues create a sense of movement. Consider scale adjustments.,2024-06-23,39,24,1
4.3,Captivating narrative through visual elements. Highly original concept.,2023-12-21,37,14,3
5.1,Intriguing interplay of light and shadow. Engaging from afar.,2024-02-08,43,49,1
8.07,Captivating narrative through visual elements. Needs more contrast.,2024-12-25,45,26,1
2.8,Harmonious balance with subtle nuances. Consider scale adjustments.,2024-10-01,45,56,5
5.63,Harmonious balance with subtle nuances. Needs more contrast.,2025-02-23,45,19,5
6.33,Evocative symbolism adds layers of meaning. Polished execution.,2024-02-08,36,6,3
1.42,Vibrant hues create a sense of movement. Highly original concept.,2025-09-25,42,30,5
6.47,Evocative symbolism adds layers of meaning. Engaging from afar.,2024-03-17,41,31,5
2.53,Fluid lines guide the viewer's eye seamlessly. Consider scale adjustments.,2023-11-03,36,70,5
1.59,Evocative symbolism adds layers of meaning. Consider scale adjustments.,2025-05-14,39,13,5
9.54,Vibrant hues create a sense of movement. Compelling story told.,2024-04-07,45,21,4
9.69,Intriguing interplay of light and shadow. Consider scale adjustments.,2024-12-18,39,8,1
8.28,Strong composition and innovative use of materials. Consider scale adjustments.,2025-08-27,43,23,1
3.74,Textural contrasts provide tactile appeal. Compelling story told.,2025-02-27,37,21,5
1.88,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2025-02-28,45,32,3
7.16,Bold choices in form and texture stand out. Needs more contrast.,2025-08-25,37,51,5
4.96,"Excellent technical skill, but could explore more conceptual depth. Polished execution.",2024-05-20,38,12,3
2.1,Masterful handling of negative space. Polished execution.,2024-08-18,43,32,1
5.46,Textural contrasts provide tactile appeal. Polished execution.,2024-09-21,41,32,2
1.31,Harmonious balance with subtle nuances. Needs more contrast.,2024-08-16,41,51,3
9.18,"Excellent technical skill, but could explore more conceptual depth. Highly original concept.",2025-08-20,43,64,2
3.33,Vibrant hues create a sense of movement. Compelling story told.,2023-12-28,41,44,3
6.96,Dynamic energy conveyed through brushwork. Needs more contrast.,2024-01-28,42,31,1
